NAMESPACE            NAME                                            READY   STATUS    RESTARTS   AGE     IP             NODE                    NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-5779d6596f-9db42                   1/1     Running   0          45m     10.244.2.110   job7189-worker3         <none>           <none>
cert-manager         cert-manager-cainjector-5ddf6799cc-zmjkj        1/1     Running   0          45m     10.244.2.129   job7189-worker3         <none>           <none>
cert-manager         cert-manager-webhook-5d4dc79c59-dhxj9           1/1     Running   0          45m     10.244.1.3     job7189-worker2         <none>           <none>
data                 kafka-0                                         1/1     Running   0          37m     10.244.1.131   job7189-worker2         <none>           <none>
data                 mysql-778599c76b-wg7tk                          1/1     Running   0          41m     10.244.2.174   job7189-worker3         <none>           <none>
gateway              kong-gateway-65f9cc5c77-6vnj6                   1/1     Running   0          36m     10.244.3.96    job7189-worker          <none>           <none>
ingress-nginx        ingress-nginx-controller-7fbf5b4d96-7hvmr       1/1     Running   0          44m     10.244.2.137   job7189-worker3         <none>           <none>
job7189-apps         candidate-service-679f888588-9sl72              4/4     Running   0          31m     10.244.2.44    job7189-worker3         <none>           <none>
job7189-apps         candidate-service-redis-7b7b888d55-524w8        1/1     Running   0          31m     10.244.2.58    job7189-worker3         <none>           <none>
job7189-apps         communication-service-5bfbb46df5-8xkkd          4/4     Running   0          31m     10.244.3.87    job7189-worker          <none>           <none>
job7189-apps         communication-service-redis-8478c6c85d-6dp9b    1/1     Running   0          31m     10.244.3.29    job7189-worker          <none>           <none>
job7189-apps         hiring-service-5f4765cb86-gptdb                 4/4     Running   0          31m     10.244.3.219   job7189-worker          <none>           <none>
job7189-apps         hiring-service-redis-f59fdd58c-2ktk7            1/1     Running   0          31m     10.244.1.225   job7189-worker2         <none>           <none>
job7189-apps         identity-service-6b6786795b-f8dp8               4/4     Running   0          31m     10.244.3.168   job7189-worker          <none>           <none>
job7189-apps         identity-service-redis-7b849c7c78-l5qpd         1/1     Running   0          31m     10.244.2.28    job7189-worker3         <none>           <none>
job7189-apps         job-service-7f7d9b7595-86zxv                    4/4     Running   0          31m     10.244.1.252   job7189-worker2         <none>           <none>
job7189-apps         job-service-redis-7649f65845-jb5sc              1/1     Running   0          31m     10.244.3.185   job7189-worker          <none>           <none>
job7189-apps         storage-service-589b454764-jxjfj                4/4     Running   0          31m     10.244.2.122   job7189-worker3         <none>           <none>
job7189-apps         storage-service-redis-686988956c-gqmgw          1/1     Running   0          31m     10.244.1.5     job7189-worker2         <none>           <none>
job7189-apps         workspace-service-7bccfb9cd6-5l5sz              4/4     Running   0          31m     10.244.1.175   job7189-worker2         <none>           <none>
job7189-apps         workspace-service-redis-6bf897c4d7-5qpt8        1/1     Running   0          31m     10.244.2.9     job7189-worker3         <none>           <none>
kube-system          cilium-bksmc                                    1/1     Running   0          51s     172.18.0.3     job7189-worker3         <none>           <none>
kube-system          cilium-envoy-h2nm6                              1/1     Running   0          47m     172.18.0.5     job7189-worker          <none>           <none>
kube-system          cilium-envoy-j8wsc                              1/1     Running   0          47m     172.18.0.3     job7189-worker3         <none>           <none>
kube-system          cilium-envoy-w47jv                              1/1     Running   0          47m     172.18.0.4     job7189-worker2         <none>           <none>
kube-system          cilium-envoy-wjx62                              1/1     Running   0          47m     172.18.0.2     job7189-control-plane   <none>           <none>
