NAME                                  AGE     VALID
allow-apps-egress-kafka               48m     True
allow-apps-intra-ns-services          48m     True
allow-dns-egress                      9m19s   True
allow-egress-vault-db                 8m53s   True
allow-identity-to-mysql               9m19s   True
allow-identity-to-vault               9m19s   True
allow-internal-identity               8m52s   True
allow-internal-job-to-workspace       8m52s   True
allow-kong-ingress                    8m52s   True
allow-testclient-egress-to-identity   9m19s   True
default-deny-all                      9m18s   False
default-deny-job7189-apps             9m20s   True
restrict-identity-api-l7              9m19s   True
