NAME                                  AGE     VALID
allow-apps-egress-kafka               3h50m   True
allow-apps-intra-ns-services          3h50m   True
allow-dns-egress                      3h12m   True
allow-egress-vault-db                 3h11m   True
allow-identity-to-mysql               3h12m   True
allow-identity-to-vault               3h12m   True
allow-internal-identity               3h11m   True
allow-internal-job-to-workspace       3h11m   True
allow-kong-ingress                    3h11m   True
allow-testclient-egress-to-identity   3h12m   True
default-deny-all                      3h12m   False
default-deny-job7189-apps             3h12m   True
restrict-identity-api-l7              3h12m   True
