NAME                                  AGE   VALID
allow-apps-egress-kafka               88m   True
allow-apps-intra-ns-services          88m   True
allow-dns-egress                      97m   True
allow-egress-vault-db                 97m   True
allow-identity-to-mysql               88m   True
allow-identity-to-vault               88m   True
allow-internal-identity               97m   True
allow-internal-job-to-workspace       97m   True
allow-kong-ingress                    97m   True
allow-testclient-egress-to-identity   88m   True
default-deny-all                      97m   False
default-deny-job7189-apps             88m   True
restrict-identity-api-l7              88m   True
