NAME                                  AGE    VALID
allow-apps-egress-kafka               151m   True
allow-apps-intra-ns-services          151m   True
allow-dns-egress                      112m   True
allow-egress-vault-db                 112m   True
allow-identity-to-mysql               112m   True
allow-identity-to-vault               112m   True
allow-internal-identity               112m   True
allow-internal-job-to-workspace       112m   True
allow-kong-ingress                    112m   True
allow-testclient-egress-to-identity   112m   True
default-deny-all                      112m   False
default-deny-job7189-apps             112m   True
restrict-identity-api-l7              112m   True
