NAME                                  AGE    VALID
allow-apps-egress-kafka               131m   True
allow-apps-intra-ns-services          131m   True
allow-dns-egress                      92m    True
allow-egress-vault-db                 92m    True
allow-identity-to-mysql               92m    True
allow-identity-to-vault               92m    True
allow-internal-identity               92m    True
allow-internal-job-to-workspace       92m    True
allow-kong-ingress                    92m    True
allow-testclient-egress-to-identity   92m    True
default-deny-all                      92m    False
default-deny-job7189-apps             92m    True
restrict-identity-api-l7              92m    True
