NAMESPACE            NAME                                                    READY   STATUS      RESTARTS         AGE     IP                NODE        NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-bbc84b684-ggzwl                            1/1     Running     14 (115m ago)    7d20h   10.244.1.99       7189srv02   <none>           <none>
cert-manager         cert-manager-cainjector-67fd5f9578-pprgk                1/1     Running     14 (115m ago)    7d21h   10.244.2.226      7189srv03   <none>           <none>
cert-manager         cert-manager-webhook-5b7d7fbfbd-2nc5p                   1/1     Running     14 (115m ago)    7d20h   10.244.1.186      7189srv02   <none>           <none>
cosign-system        policy-controller-webhook-6c487dcfdc-ptqcd              1/1     Running     50 (115m ago)    11d     10.244.2.48       7189srv03   <none>           <none>
data                 kafka-0                                                 1/1     Running     0                100m    10.244.4.185      7189srv05   <none>           <none>
data                 mysql-6c697678cf-kfcnh                                  1/1     Running     0                100m    10.244.2.101      7189srv03   <none>           <none>
data                 mysql-f5fb77767-kxmgw                                   0/1     Pending     0                64m     <none>            <none>      <none>           <none>
default              node-debugger-7189srv01-nhsfm                           0/1     Completed   0                3d18h   100.114.68.15     7189srv01   <none>           <none>
default              node-debugger-7189srv02-bhq2d                           0/1     Completed   0                3d18h   100.108.231.127   7189srv02   <none>           <none>
default              node-debugger-7189srv03-b8lxn                           0/1     Completed   0                3d18h   100.112.57.2      7189srv03   <none>           <none>
gatekeeper-system    gatekeeper-controller-manager-f87d7d679-5kg4p           1/1     Running     14 (115m ago)    7d21h   10.244.2.189      7189srv03   <none>           <none>
gateway              kong-gateway-64d6d7454d-db7md                           1/1     Running     4 (115m ago)     44h     10.244.2.233      7189srv03   <none>           <none>
ingress-nginx        ingress-nginx-controller-56b4cd4657-qqtq5               1/1     Running     15 (115m ago)    7d21h   10.244.1.92       7189srv02   <none>           <none>
job7189-apps         candidate-service-6549cd7d6d-j8cwx                      5/5     Running     1 (59m ago)      94m     10.244.1.81       7189srv02   <none>           <none>
job7189-apps         candidate-service-redis-5b484c7f88-mcj7q                1/1     Running     0                94m     10.244.4.9        7189srv05   <none>           <none>
job7189-apps         communication-service-6dc7d6dd46-s42fp                  5/5     Running     1 (58m ago)      94m     10.244.4.117      7189srv05   <none>           <none>
job7189-apps         communication-service-redis-fc6645965-hhrkn             1/1     Running     0                94m     10.244.4.16       7189srv05   <none>           <none>
job7189-apps         hiring-service-85c57cc589-m9zs6                         5/5     Running     1 (56m ago)      91m     10.244.1.122      7189srv02   <none>           <none>
job7189-apps         hiring-service-redis-6585c68cb9-87q8b                   1/1     Running     0                92m     10.244.1.206      7189srv02   <none>           <none>
job7189-apps         identity-service-657f64c7d5-ks7x4                       5/5     Running     1 (59m ago)      95m     10.244.1.204      7189srv02   <none>           <none>
