NAME                                  AGE     VALID
allow-apps-egress-kafka               3h44m   True
allow-apps-intra-ns-services          3h44m   True
allow-dns-egress                      3h5m    True
allow-egress-vault-db                 3h4m    True
allow-identity-to-mysql               3h5m    True
allow-identity-to-vault               3h5m    True
allow-internal-identity               3h4m    True
allow-internal-job-to-workspace       3h4m    True
allow-kong-ingress                    3h4m    True
allow-testclient-egress-to-identity   3h5m    True
default-deny-all                      3h5m    False
default-deny-job7189-apps             3h5m    True
restrict-identity-api-l7              3h5m    True
