NAME                                  AGE     VALID
allow-apps-egress-kafka               5h26m   True
allow-apps-intra-ns-services          5h26m   True
allow-dns-egress                      4h47m   True
allow-egress-vault-db                 4h46m   True
allow-identity-to-mysql               4h47m   True
allow-identity-to-vault               4h47m   True
allow-internal-identity               4h46m   True
allow-internal-job-to-workspace       4h46m   True
allow-kong-ingress                    4h46m   True
allow-testclient-egress-to-identity   4h47m   True
default-deny-all                      4h47m   False
default-deny-job7189-apps             4h47m   True
restrict-identity-api-l7              4h47m   True
