NAMESPACE            NAME                                                    READY   STATUS      RESTARTS         AGE     IP                NODE        NOMINATED NODE   READINESS GATES
kube-system          tetragon-m7qvb                                          2/2     Running     99 (178m ago)    20d     100.108.231.127   7189srv02   <none>           <none>
kube-system          tetragon-mksjq                                          2/2     Running     0                34m     172.16.82.128     7189srv05   <none>           <none>
kube-system          tetragon-operator-5dd7674d4d-thrrz                      1/1     Running     15 (3h ago)      8d      10.244.2.73       7189srv03   <none>           <none>
local-path-storage   local-path-provisioner-79874bcbd9-kjgtz                 1/1     Running     15 (3h ago)      8d      10.244.2.226      7189srv03   <none>           <none>
monitoring           es-0                                                    1/1     Running     0                90m     10.244.4.81       7189srv05   <none>           <none>
monitoring           filebeat-4gdlh                                          1/1     Running     0                5m46s   100.108.231.127   7189srv02   <none>           <none>
monitoring           filebeat-gcp47                                          1/1     Running     0                5m49s   100.112.57.2      7189srv03   <none>           <none>
monitoring           filebeat-mgdzm                                          1/1     Running     0                5m53s   172.16.82.128     7189srv05   <none>           <none>
monitoring           hubble-flow-shipper-b6b6j                               1/1     Running     5 (3h ago)       2d10h   10.244.2.161      7189srv03   <none>           <none>
monitoring           hubble-flow-shipper-fsvk6                               1/1     Running     5 (3h ago)       2d10h   10.244.0.237      7189srv01   <none>           <none>
monitoring           hubble-flow-shipper-spm44                               1/1     Running     5 (3h ago)       2d10h   10.244.1.212      7189srv02   <none>           <none>
monitoring           hubble-flow-shipper-x2p8t                               1/1     Running     0                69m     10.244.4.78       7189srv05   <none>           <none>
monitoring           kube-state-metrics-678985f974-4vns7                     1/1     Running     12 (3h ago)      2d23h   10.244.2.229      7189srv03   <none>           <none>
monitoring           node-exporter-7v4rh                                     1/1     Running     0                69m     172.16.82.128     7189srv05   <none>           <none>
monitoring           node-exporter-r96vc                                     1/1     Running     47 (3h ago)      31d     100.114.68.15     7189srv01   <none>           <none>
monitoring           node-exporter-r9csz                                     1/1     Running     48 (3h ago)      31d     100.108.231.127   7189srv02   <none>           <none>
monitoring           node-exporter-vlt88                                     1/1     Running     48 (3h ago)      31d     100.112.57.2      7189srv03   <none>           <none>
monitoring           prometheus-5dbd69b7b-6qgjx                              1/1     Running     4 (3h ago)       43h     10.244.1.146      7189srv02   <none>           <none>
security-cdm         trivy-operator-77c6548989-kzqbw                         1/1     Running     0                105s    10.244.2.241      7189srv03   <none>           <none>
security             keycloak-64596c5485-5rjss                               1/1     Running     0                80m     10.244.1.116      7189srv02   <none>           <none>
security             oauth2-proxy-867df54b46-wfnlc                           1/1     Running     0                74m     10.244.1.74       7189srv02   <none>           <none>
security             opa-79d477b6cc-btp2r                                    2/2     Running     40 (3h ago)      12d     10.244.2.252      7189srv03   <none>           <none>
security             zta-pdp-5bc48b78bd-9xt98                                1/1     Running     12 (3h ago)      7d22h   10.244.2.87       7189srv03   <none>           <none>
spire                spiffe-csi-driver-7thch                                 2/2     Running     94 (3h ago)      31d     10.244.2.78       7189srv03   <none>           <none>
spire                spiffe-csi-driver-gmsk4                                 2/2     Running     0                69m     10.244.4.97       7189srv05   <none>           <none>
spire                spiffe-csi-driver-psq9w                                 2/2     Running     102 (3h ago)     31d     10.244.1.50       7189srv02   <none>           <none>
spire                spire-agent-hvh2g                                       1/1     Running     33 (3h ago)      19d     100.114.68.15     7189srv01   <none>           <none>
spire                spire-agent-n2zbp                                       1/1     Running     60 (3h ago)      31d     100.108.231.127   7189srv02   <none>           <none>
spire                spire-agent-r5c6c                                       1/1     Running     68 (3h ago)      31d     172.16.82.128     7189srv05   <none>           <none>
spire                spire-agent-tc9wt                                       1/1     Running     53 (3h ago)      31d     100.112.57.2      7189srv03   <none>           <none>
spire                spire-server-0                                          2/2     Running     0                77m     10.244.4.232      7189srv05   <none>           <none>
spire                spire-spiffe-oidc-discovery-provider-557bbd97b7-sfdrr   2/2     Running     46 (3h ago)      6d17h   10.244.1.75       7189srv02   <none>           <none>
vault                vault-0                                                 1/1     Running     0                177m    10.244.4.243      7189srv05   <none>           <none>
vault                vault-agent-agent-injector-84889b677c-49jhl             1/1     Running     1 (3h ago)       16h     10.244.4.117      7189srv05   <none>           <none>
vault                vault-dev-7d4444cc49-49f8v                              1/1     Running     1 (3h ago)       16h     10.244.4.250      7189srv05   <none>           <none>
