NAME                                  AGE     VALID
allow-apps-egress-kafka               4h38m   True
allow-apps-intra-ns-services          4h38m   True
allow-dns-egress                      3h59m   True
allow-egress-vault-db                 3h59m   True
allow-identity-to-mysql               3h59m   True
allow-identity-to-vault               3h59m   True
allow-internal-identity               3h59m   True
allow-internal-job-to-workspace       3h59m   True
allow-kong-ingress                    3h59m   True
allow-testclient-egress-to-identity   3h59m   True
default-deny-all                      3h59m   False
default-deny-job7189-apps             3h59m   True
restrict-identity-api-l7              3h59m   True
