NAME                                  AGE     VALID
allow-apps-egress-kafka               5h6m    True
allow-apps-intra-ns-services          5h6m    True
allow-dns-egress                      4h27m   True
allow-egress-vault-db                 4h26m   True
allow-identity-to-mysql               4h27m   True
allow-identity-to-vault               4h27m   True
allow-internal-identity               4h26m   True
allow-internal-job-to-workspace       4h26m   True
allow-kong-ingress                    4h26m   True
allow-testclient-egress-to-identity   4h27m   True
default-deny-all                      4h27m   False
default-deny-job7189-apps             4h27m   True
restrict-identity-api-l7              4h27m   True
