NAMESPACE            NAME                                            READY   STATUS    RESTARTS   AGE     IP             NODE                    NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-5779d6596f-nb7b9                   1/1     Running   0          19m     10.244.3.147   job7189-worker3         <none>           <none>
cert-manager         cert-manager-cainjector-5ddf6799cc-jmfnq        1/1     Running   0          19m     10.244.5.212   job7189-worker2         <none>           <none>
cert-manager         cert-manager-webhook-5d4dc79c59-b8sqn           1/1     Running   0          19m     10.244.5.16    job7189-worker2         <none>           <none>
data                 kafka-0                                         1/1     Running   0          11m     10.244.3.85    job7189-worker3         <none>           <none>
data                 mysql-668fc484f9-t89kv                          1/1     Running   0          14m     10.244.5.40    job7189-worker2         <none>           <none>
gateway              kong-gateway-5fb8847568-26rmx                   1/1     Running   0          10m     10.244.1.110   job7189-worker          <none>           <none>
ingress-nginx        ingress-nginx-controller-7fbf5b4d96-f2jqv       1/1     Running   0          19m     10.244.5.246   job7189-worker2         <none>           <none>
job7189-apps         candidate-service-6c5997647f-nghpc              4/4     Running   0          3m34s   10.244.3.61    job7189-worker3         <none>           <none>
job7189-apps         candidate-service-redis-8dbc4444-7j5lr          1/1     Running   0          3m35s   10.244.3.83    job7189-worker3         <none>           <none>
job7189-apps         communication-service-66d8884964-fcfgt          4/4     Running   0          3m33s   10.244.5.186   job7189-worker2         <none>           <none>
job7189-apps         communication-service-redis-848bb44985-dxj69    1/1     Running   0          3m34s   10.244.3.46    job7189-worker3         <none>           <none>
job7189-apps         hiring-service-6d7c84bbc7-f647l                 4/4     Running   0          3m33s   10.244.3.209   job7189-worker3         <none>           <none>
job7189-apps         hiring-service-redis-66467986cb-sqr9v           1/1     Running   0          3m33s   10.244.5.62    job7189-worker2         <none>           <none>
job7189-apps         identity-service-84dd5f9c9f-phhtj               4/4     Running   0          3m34s   10.244.5.70    job7189-worker2         <none>           <none>
job7189-apps         identity-service-redis-58bc5b5fdf-fnbwp         1/1     Running   0          3m35s   10.244.1.251   job7189-worker          <none>           <none>
job7189-apps         job-service-d9f8fbd4d-wdj4r                     4/4     Running   0          3m34s   10.244.1.163   job7189-worker          <none>           <none>
job7189-apps         job-service-redis-7d978bf878-pxrb9              1/1     Running   0          3m36s   10.244.5.240   job7189-worker2         <none>           <none>
job7189-apps         storage-service-57fccf846f-cp5l6                4/4     Running   0          3m34s   10.244.1.216   job7189-worker          <none>           <none>
job7189-apps         storage-service-redis-67999f7dd-h48m7           1/1     Running   0          3m34s   10.244.5.202   job7189-worker2         <none>           <none>
job7189-apps         workspace-service-56bd669975-975rz              4/4     Running   0          3m34s   10.244.5.45    job7189-worker2         <none>           <none>
job7189-apps         workspace-service-redis-76b9bf6b4d-nnznw        1/1     Running   0          3m35s   10.244.5.59    job7189-worker2         <none>           <none>
kube-system          cilium-5wpdt                                    1/1     Running   0          21m     172.18.0.3     job7189-control-plane   <none>           <none>
kube-system          cilium-envoy-4qpf9                              1/1     Running   0          21m     172.18.0.5     job7189-worker          <none>           <none>
kube-system          cilium-envoy-6fcb4                              1/1     Running   0          21m     172.18.0.4     job7189-worker3         <none>           <none>
kube-system          cilium-envoy-c6zg8                              1/1     Running   0          21m     172.18.0.2     job7189-worker2         <none>           <none>
kube-system          cilium-envoy-slkpf                              1/1     Running   0          21m     172.18.0.3     job7189-control-plane   <none>           <none>
kube-system          cilium-gn49r                                    1/1     Running   0          21m     172.18.0.4     job7189-worker3         <none>           <none>
kube-system          cilium-mctql                                    1/1     Running   0          21m     172.18.0.5     job7189-worker          <none>           <none>
kube-system          cilium-operator-d5845585d-l89k7                 1/1     Running   0          21m     172.18.0.4     job7189-worker3         <none>           <none>
