NAME                                  AGE    VALID
allow-apps-egress-kafka               157m   True
allow-apps-intra-ns-services          157m   True
allow-dns-egress                      157m   True
allow-egress-vault-db                 157m   True
allow-identity-to-mysql               157m   True
allow-identity-to-vault               157m   True
allow-internal-identity               157m   True
allow-internal-job-to-workspace       157m   True
allow-kong-ingress                    157m   True
allow-testclient-egress-to-identity   157m   True
default-deny-all                      157m   False
default-deny-job7189-apps             157m   True
restrict-identity-api-l7              157m   True
