NAMESPACE            NAME                                                    READY   STATUS      RESTARTS          AGE     IP                NODE        NOMINATED NODE   READINESS GATES
kube-system          tetragon-8gcfs                                          2/2     Running     101 (3h18m ago)   18d     172.16.82.128     7189srv05   <none>           <none>
kube-system          tetragon-fjpd7                                          2/2     Running     85 (3h22m ago)    18d     100.112.57.2      7189srv03   <none>           <none>
kube-system          tetragon-m7qvb                                          2/2     Running     84 (3h22m ago)    18d     100.108.231.127   7189srv02   <none>           <none>
kube-system          tetragon-operator-5dd7674d4d-thrrz                      1/1     Running     10 (3h23m ago)    6d1h    10.244.2.170      7189srv03   <none>           <none>
local-path-storage   local-path-provisioner-79874bcbd9-kjgtz                 1/1     Running     10 (3h23m ago)    6d1h    10.244.2.92       7189srv03   <none>           <none>
monitoring           es-0                                                    1/1     Running     7 (3h19m ago)     4d23h   10.244.4.196      7189srv05   <none>           <none>
monitoring           filebeat-4phnd                                          1/1     Running     15 (3h23m ago)    10d     100.112.57.2      7189srv03   <none>           <none>
monitoring           filebeat-6s442                                          1/1     Running     15 (3h19m ago)    10d     172.16.82.128     7189srv05   <none>           <none>
monitoring           filebeat-qh4m5                                          1/1     Running     15 (3h23m ago)    10d     100.108.231.127   7189srv02   <none>           <none>
monitoring           grafana-7dff6dcd75-h7n9k                                1/1     Running     7 (3h19m ago)     4d23h   10.244.4.74       7189srv05   <none>           <none>
monitoring           kibana-57db6fd977-kbtl2                                 1/1     Running     11 (3h23m ago)    6d1h    10.244.1.82       7189srv02   <none>           <none>
monitoring           kube-state-metrics-678985f974-4vns7                     1/1     Running     7 (3h23m ago)     13h     10.244.2.241      7189srv03   <none>           <none>
monitoring           node-exporter-r96vc                                     1/1     Running     42 (3h23m ago)    28d     100.114.68.15     7189srv01   <none>           <none>
monitoring           node-exporter-r9csz                                     1/1     Running     43 (3h23m ago)    28d     100.108.231.127   7189srv02   <none>           <none>
monitoring           node-exporter-vlt88                                     1/1     Running     43 (3h23m ago)    28d     100.112.57.2      7189srv03   <none>           <none>
monitoring           node-exporter-wtnmz                                     1/1     Running     48 (3h19m ago)    28d     172.16.82.128     7189srv05   <none>           <none>
monitoring           prometheus-5dbd69b7b-jswj9                              1/1     Running     10 (3h23m ago)    6d1h    10.244.1.92       7189srv02   <none>           <none>
security             keycloak-5b45bcbdd4-bfchj                               1/1     Running     0                 3h4m    10.244.1.230      7189srv02   <none>           <none>
security             oauth2-proxy-867df54b46-52hz4                           1/1     Running     1 (3h23m ago)     7h21m   10.244.1.209      7189srv02   <none>           <none>
security             opa-79d477b6cc-btp2r                                    2/2     Running     30 (3h23m ago)    10d     10.244.2.56       7189srv03   <none>           <none>
security             zta-pdp-5bc48b78bd-9xt98                                1/1     Running     7 (3h23m ago)     5d12h   10.244.2.25       7189srv03   <none>           <none>
spire                spiffe-csi-driver-7thch                                 2/2     Running     84 (3h23m ago)    28d     10.244.2.130      7189srv03   <none>           <none>
spire                spiffe-csi-driver-ld6ks                                 2/2     Running     112 (3h19m ago)   28d     10.244.4.73       7189srv05   <none>           <none>
spire                spiffe-csi-driver-psq9w                                 2/2     Running     92 (3h23m ago)    28d     10.244.1.74       7189srv02   <none>           <none>
spire                spire-agent-hvh2g                                       1/1     Running     28 (3h23m ago)    17d     100.114.68.15     7189srv01   <none>           <none>
spire                spire-agent-n2zbp                                       1/1     Running     55 (3h23m ago)    28d     100.108.231.127   7189srv02   <none>           <none>
spire                spire-agent-r5c6c                                       1/1     Running     63 (3h19m ago)    28d     172.16.82.128     7189srv05   <none>           <none>
spire                spire-agent-tc9wt                                       1/1     Running     48 (3h23m ago)    28d     100.112.57.2      7189srv03   <none>           <none>
spire                spire-server-0                                          2/2     Running     36 (3h19m ago)    4d23h   10.244.4.42       7189srv05   <none>           <none>
spire                spire-spiffe-oidc-discovery-provider-557bbd97b7-sfdrr   2/2     Running     28 (3h17m ago)    4d6h    10.244.1.225      7189srv02   <none>           <none>
vault                vault-0                                                 1/1     Running     0                 3h4m    10.244.4.30       7189srv05   <none>           <none>
vault                vault-agent-agent-injector-58b4d7489c-t822g             1/1     Running     7 (3h19m ago)     4d23h   10.244.4.33       7189srv05   <none>           <none>
vault                vault-dev-7d4444cc49-k69l5                              1/1     Running     7 (3h19m ago)     4d23h   10.244.4.145      7189srv05   <none>           <none>
