NAME                                  AGE     VALID
allow-apps-egress-kafka               4m15s   True
allow-apps-intra-ns-services          4m15s   True
allow-dns-egress                      4m24s   True
allow-egress-vault-db                 4m21s   True
allow-identity-to-mysql               4m25s   True
allow-identity-to-vault               4m24s   True
allow-internal-identity               4m20s   True
allow-internal-job-to-workspace       4m20s   True
allow-kong-ingress                    4m21s   True
allow-testclient-egress-to-identity   4m24s   True
default-deny-all                      4m24s   False
default-deny-job7189-apps             4m25s   True
restrict-identity-api-l7              4m25s   True
