NAME                                  AGE    VALID
allow-apps-egress-kafka               148m   True
allow-apps-intra-ns-services          148m   True
allow-dns-egress                      149m   True
allow-egress-vault-db                 148m   True
allow-identity-to-mysql               149m   True
allow-identity-to-vault               149m   True
allow-internal-identity               148m   True
allow-internal-job-to-workspace       148m   True
allow-kong-ingress                    148m   True
allow-testclient-egress-to-identity   149m   True
default-deny-all                      149m   False
default-deny-job7189-apps             149m   True
restrict-identity-api-l7              149m   True
