NAME                                  AGE     VALID
allow-apps-egress-kafka               4m38s   True
allow-apps-intra-ns-services          4m38s   True
allow-dns-egress                      4m48s   True
allow-egress-vault-db                 4m44s   True
allow-identity-to-mysql               4m49s   True
allow-identity-to-vault               4m48s   True
allow-internal-identity               4m44s   True
allow-internal-job-to-workspace       4m44s   True
allow-kong-ingress                    4m44s   True
allow-testclient-egress-to-identity   4m48s   True
default-deny-all                      4m48s   False
default-deny-job7189-apps             4m49s   True
restrict-identity-api-l7              4m49s   True
