NAME                                  AGE   VALID
allow-apps-egress-kafka               40m   True
allow-apps-intra-ns-services          40m   True
allow-dns-egress                      73s   True
allow-egress-vault-db                 47s   True
allow-identity-to-mysql               73s   True
allow-identity-to-vault               73s   True
allow-internal-identity               46s   True
allow-internal-job-to-workspace       46s   True
allow-kong-ingress                    46s   True
allow-testclient-egress-to-identity   73s   True
default-deny-all                      72s   False
default-deny-job7189-apps             74s   True
restrict-identity-api-l7              73s   True
