NAME                                  AGE    VALID
allow-apps-egress-kafka               129m   True
allow-apps-intra-ns-services          129m   True
allow-dns-egress                      129m   True
allow-egress-vault-db                 129m   True
allow-identity-to-mysql               129m   True
allow-identity-to-vault               129m   True
allow-internal-identity               129m   True
allow-internal-job-to-workspace       129m   True
allow-kong-ingress                    129m   True
allow-testclient-egress-to-identity   129m   True
default-deny-all                      129m   False
default-deny-job7189-apps             129m   True
restrict-identity-api-l7              129m   True
