NAME                                  AGE   VALID
allow-apps-egress-kafka               41m   True
allow-apps-intra-ns-services          41m   True
allow-dns-egress                      42m   True
allow-egress-vault-db                 42m   True
allow-identity-to-mysql               42m   True
allow-identity-to-vault               42m   True
allow-internal-identity               42m   True
allow-internal-job-to-workspace       42m   True
allow-kong-ingress                    42m   True
allow-testclient-egress-to-identity   42m   True
default-deny-all                      42m   False
default-deny-job7189-apps             42m   True
restrict-identity-api-l7              42m   True
