NAMESPACE            NAME                                                    READY   STATUS        RESTARTS        AGE     IP                NODE        NOMINATED NODE   READINESS GATES
job7189-apps         identity-service-redis-569fb4c444-ckc2h                 1/1     Running       0               22m     10.244.4.155      7189srv05   <none>           <none>
job7189-apps         job-service-ff67cf45c-82bvd                             5/5     Running       0               22m     10.244.1.205      7189srv02   <none>           <none>
job7189-apps         job-service-redis-5b987-2nh6n                           1/1     Running       0               22m     10.244.4.121      7189srv05   <none>           <none>
job7189-apps         storage-service-7c5db66b7-rvmjs                         5/5     Running       0               14m     10.244.4.227      7189srv05   <none>           <none>
job7189-apps         storage-service-redis-78cb79b765-sf77j                  1/1     Running       0               14m     10.244.4.50       7189srv05   <none>           <none>
job7189-apps         workspace-service-6c68c569d9-s5vdv                      5/5     Running       0               14m     10.244.1.86       7189srv02   <none>           <none>
job7189-apps         workspace-service-redis-65cf6d9fd-njzsn                 1/1     Running       0               14m     10.244.4.89       7189srv05   <none>           <none>
kube-system          cilium-envoy-fkb5x                                      1/1     Running       36 (29m ago)    18d     172.16.82.128     7189srv05   <none>           <none>
kube-system          cilium-envoy-tdnfg                                      1/1     Running       29 (30m ago)    18d     100.108.231.127   7189srv02   <none>           <none>
kube-system          cilium-envoy-vpshq                                      1/1     Running       29 (30m ago)    18d     100.114.68.15     7189srv01   <none>           <none>
kube-system          cilium-envoy-z4ks4                                      1/1     Running       29 (30m ago)    18d     100.112.57.2      7189srv03   <none>           <none>
kube-system          cilium-f7sw9                                            1/1     Running       2 (30m ago)     21h     100.112.57.2      7189srv03   <none>           <none>
kube-system          cilium-gsm9b                                            1/1     Running       2 (30m ago)     21h     100.114.68.15     7189srv01   <none>           <none>
kube-system          cilium-k9v4w                                            1/1     Running       2 (30m ago)     21h     100.108.231.127   7189srv02   <none>           <none>
kube-system          cilium-operator-74c98fff9d-nn59f                        1/1     Running       31 (30m ago)    11d     100.114.68.15     7189srv01   <none>           <none>
kube-system          cilium-qwfqk                                            1/1     Running       2 (29m ago)     21h     172.16.82.128     7189srv05   <none>           <none>
kube-system          containerd-certs-setup-jrh4d                            1/1     Running       3 (30m ago)     35h     10.244.0.244      7189srv01   <none>           <none>
kube-system          containerd-certs-setup-jswjp                            1/1     Running       3 (30m ago)     35h     10.244.1.130      7189srv02   <none>           <none>
kube-system          containerd-certs-setup-wdgtk                            1/1     Running       3 (30m ago)     35h     10.244.2.147      7189srv03   <none>           <none>
kube-system          containerd-certs-setup-z2gm8                            1/1     Running       3 (29m ago)     35h     10.244.4.34       7189srv05   <none>           <none>
kube-system          coredns-6cf5f79cf9-4sx7l                                1/1     Running       0               27m     10.244.0.158      7189srv01   <none>           <none>
kube-system          coredns-6cf5f79cf9-bf89p                                1/1     Running       1 (30m ago)     12h     10.244.1.88       7189srv02   <none>           <none>
kube-system          etcd-7189srv01                                          1/1     Running       70 (30m ago)    31d     100.114.68.15     7189srv01   <none>           <none>
kube-system          hubble-relay-7c66999c8-cr4mf                            1/1     Running       26 (27m ago)    6d23h   10.244.1.193      7189srv02   <none>           <none>
kube-system          hubble-ui-7858459f57-v9wr5                              2/2     Running       24 (30m ago)    6d23h   10.244.1.107      7189srv02   <none>           <none>
kube-system          kube-apiserver-7189srv01                                1/1     Running       70 (30m ago)    31d     100.114.68.15     7189srv01   <none>           <none>
kube-system          kube-controller-manager-7189srv01                       1/1     Running       51 (30m ago)    31d     100.114.68.15     7189srv01   <none>           <none>
kube-system          kube-scheduler-7189srv01                                1/1     Running       51 (30m ago)    31d     100.114.68.15     7189srv01   <none>           <none>
kube-system          metrics-server-8454bcb474-8stzs                         1/1     Running       16 (30m ago)    10d     10.244.2.152      7189srv03   <none>           <none>
kube-system          tetragon-8gcfs                                          2/2     Running       107 (27m ago)   18d     172.16.82.128     7189srv05   <none>           <none>
kube-system          tetragon-fjpd7                                          2/2     Running       91 (28m ago)    18d     100.112.57.2      7189srv03   <none>           <none>
kube-system          tetragon-m7qvb                                          2/2     Running       90 (28m ago)    18d     100.108.231.127   7189srv02   <none>           <none>
kube-system          tetragon-operator-5dd7674d4d-thrrz                      1/1     Running       12 (30m ago)    6d23h   10.244.2.75       7189srv03   <none>           <none>
local-path-storage   local-path-provisioner-79874bcbd9-kjgtz                 1/1     Running       12              6d23h   10.244.2.5        7189srv03   <none>           <none>
monitoring           es-0                                                    1/1     Running       1 (29m ago)     6h22m   10.244.4.5        7189srv05   <none>           <none>
monitoring           filebeat-hcqkw                                          1/1     Running       3 (29m ago)     21h     172.16.82.128     7189srv05   <none>           <none>
monitoring           filebeat-ld6kw                                          1/1     Running       3 (30m ago)     21h     100.112.57.2      7189srv03   <none>           <none>
monitoring           filebeat-wxptk                                          1/1     Running       3 (30m ago)     21h     100.108.231.127   7189srv02   <none>           <none>
monitoring           hubble-flow-shipper-b6b6j                               1/1     Running       2 (30m ago)     21h     10.244.2.253      7189srv03   <none>           <none>
monitoring           hubble-flow-shipper-fsvk6                               1/1     Running       2               21h     10.244.0.3        7189srv01   <none>           <none>
monitoring           hubble-flow-shipper-spm44                               1/1     Running       2 (30m ago)     21h     10.244.1.48       7189srv02   <none>           <none>
monitoring           hubble-flow-shipper-xt5l9                               1/1     Running       2 (29m ago)     21h     10.244.4.166      7189srv05   <none>           <none>
