NAMESPACE            NAME                                            READY   STATUS             RESTARTS         AGE     IP             NODE                    NOMINATED NODE   READINESS GATES
cert-manager         cert-manager-5779d6596f-bgmtn                   1/1     Running            0                5h39m   10.244.2.126   job7189-worker3         <none>           <none>
cert-manager         cert-manager-cainjector-5ddf6799cc-pnqhl        1/1     Running            0                5h39m   10.244.2.177   job7189-worker3         <none>           <none>
cert-manager         cert-manager-webhook-5d4dc79c59-knvh6           1/1     Running            0                5h39m   10.244.3.147   job7189-worker2         <none>           <none>
data                 kafka-0                                         1/1     Running            0                4m40s   10.244.1.2     job7189-worker          <none>           <none>
data                 mysql-668fc484f9-9nbvw                          0/1     Init:0/1           0                4m56s   10.244.3.194   job7189-worker2         <none>           <none>
data                 mysql-778599c76b-spjzf                          1/1     Running            0                5h35m   10.244.3.11    job7189-worker2         <none>           <none>
gateway              kong-gateway-5fb8847568-88btd                   1/1     Running            0                4m26s   10.244.3.202   job7189-worker2         <none>           <none>
ingress-nginx        ingress-nginx-controller-7fbf5b4d96-6jl24       1/1     Running            0                5h38m   10.244.2.2     job7189-worker3         <none>           <none>
job7189-apps         candidate-service-679f888588-ng84h              4/4     Running            0                5h24m   10.244.2.171   job7189-worker3         <none>           <none>
job7189-apps         candidate-service-6c5997647f-7f7s4              0/3     Init:0/2           2 (68s ago)      3m52s   10.244.2.119   job7189-worker3         <none>           <none>
job7189-apps         candidate-service-redis-8dbc4444-pl8bx          1/1     Running            0                2m55s   10.244.3.150   job7189-worker2         <none>           <none>
job7189-apps         communication-service-5bfbb46df5-9sjrz          4/4     Running            5 (2m35s ago)    5h24m   10.244.3.225   job7189-worker2         <none>           <none>
job7189-apps         communication-service-66d8884964-gmqtt          0/3     Init:0/2           2 (36s ago)      3m24s   10.244.2.210   job7189-worker3         <none>           <none>
job7189-apps         communication-service-redis-848bb44985-nwq72    1/1     Running            0                2m49s   10.244.3.230   job7189-worker2         <none>           <none>
job7189-apps         hiring-service-5f4765cb86-zlcpv                 4/4     Running            0                5h24m   10.244.1.167   job7189-worker          <none>           <none>
job7189-apps         hiring-service-6d7c84bbc7-8gjrn                 0/3     Init:0/2           2 (66s ago)      3m53s   10.244.1.16    job7189-worker          <none>           <none>
job7189-apps         hiring-service-redis-66467986cb-5plcn           1/1     Running            0                3m19s   10.244.3.220   job7189-worker2         <none>           <none>
job7189-apps         identity-service-6b6786795b-r24vg               4/4     Running            0                5h24m   10.244.3.143   job7189-worker2         <none>           <none>
job7189-apps         identity-service-84dd5f9c9f-mbn8l               0/3     Init:0/2           2 (70s ago)      3m54s   10.244.2.24    job7189-worker3         <none>           <none>
job7189-apps         identity-service-redis-58bc5b5fdf-w6fd4         1/1     Running            0                3m22s   10.244.3.45    job7189-worker2         <none>           <none>
job7189-apps         job-service-7f7d9b7595-phl85                    4/4     Running            0                5h24m   10.244.2.206   job7189-worker3         <none>           <none>
job7189-apps         job-service-d9f8fbd4d-fddj9                     0/3     Init:0/2           2 (67s ago)      3m51s   10.244.1.154   job7189-worker          <none>           <none>
job7189-apps         job-service-redis-7d978bf878-dqxvb              1/1     Running            0                2m53s   10.244.3.99    job7189-worker2         <none>           <none>
job7189-apps         storage-service-57fccf846f-h4w9j                0/3     Init:0/2           2 (36s ago)      3m23s   10.244.2.71    job7189-worker3         <none>           <none>
job7189-apps         storage-service-589b454764-f4qqm                4/4     Running            0                5h24m   10.244.1.68    job7189-worker          <none>           <none>
job7189-apps         storage-service-redis-67999f7dd-ffg9q           1/1     Running            0                2m48s   10.244.1.186   job7189-worker          <none>           <none>
job7189-apps         workspace-service-56bd669975-w48d2              0/3     Init:0/2           2 (35s ago)      3m26s   10.244.3.98    job7189-worker2         <none>           <none>
job7189-apps         workspace-service-7bccfb9cd6-4twwn              4/4     Running            0                5h24m   10.244.2.240   job7189-worker3         <none>           <none>
job7189-apps         workspace-service-redis-76b9bf6b4d-fm46d        1/1     Running            0                2m53s   10.244.1.174   job7189-worker          <none>           <none>
kube-system          cilium-8wgpw                                    1/1     Running            0                4h40m   172.18.0.4     job7189-worker          <none>           <none>
kube-system          cilium-9fbfw                                    1/1     Running            0                4h40m   172.18.0.3     job7189-worker3         <none>           <none>
kube-system          cilium-9fslc                                    1/1     Running            0                4h40m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          cilium-bshwt                                    1/1     Running            0                4h40m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          cilium-envoy-7cq26                              1/1     Running            0                5h41m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          cilium-envoy-9jrws                              1/1     Running            0                5h41m   172.18.0.3     job7189-worker3         <none>           <none>
kube-system          cilium-envoy-mxtf7                              1/1     Running            0                5h41m   172.18.0.4     job7189-worker          <none>           <none>
kube-system          cilium-envoy-ptkxc                              1/1     Running            0                5h41m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          cilium-operator-d5845585d-nv676                 1/1     Running            0                5h41m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          coredns-7d764666f9-876mq                        1/1     Running            0                5h41m   10.244.1.205   job7189-worker          <none>           <none>
kube-system          coredns-7d764666f9-tgp8w                        1/1     Running            0                5h41m   10.244.1.65    job7189-worker          <none>           <none>
kube-system          etcd-job7189-control-plane                      1/1     Running            0                5h41m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          hubble-relay-999c5cd6f-t5hbb                    1/1     Running            0                5h41m   10.244.1.116   job7189-worker          <none>           <none>
kube-system          hubble-ui-67d8bff4c4-d2rds                      2/2     Running            0                5h41m   10.244.1.66    job7189-worker          <none>           <none>
kube-system          kube-apiserver-job7189-control-plane            1/1     Running            0                5h41m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          kube-controller-manager-job7189-control-plane   1/1     Running            0                5h41m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          kube-proxy-8zdfl                                1/1     Running            0                5h41m   172.18.0.4     job7189-worker          <none>           <none>
kube-system          kube-proxy-98dnc                                1/1     Running            0                5h41m   172.18.0.3     job7189-worker3         <none>           <none>
kube-system          kube-proxy-xx7th                                1/1     Running            0                5h41m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          kube-proxy-z7577                                1/1     Running            0                5h41m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          kube-scheduler-job7189-control-plane            1/1     Running            0                5h41m   172.18.0.2     job7189-control-plane   <none>           <none>
kube-system          tetragon-5s2dm                                  2/2     Running            10 (15m ago)     3h47m   172.18.0.3     job7189-worker3         <none>           <none>
kube-system          tetragon-8sh4f                                  2/2     Running            12 (4m42s ago)   3h47m   172.18.0.4     job7189-worker          <none>           <none>
kube-system          tetragon-crphj                                  2/2     Running            12 (8m48s ago)   3h47m   172.18.0.5     job7189-worker2         <none>           <none>
kube-system          tetragon-operator-6f8b69c8d5-rhc6j              1/1     Running            0                3h47m   10.244.0.106   job7189-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-67b8995b4b-jb4nj         1/1     Running            0                5h41m   10.244.1.237   job7189-worker          <none>           <none>
management           kafbat-7c6bd7577d-svd66                         1/1     Running            0                4m54s   10.244.2.154   job7189-worker3         <none>           <none>
management           phpmyadmin-68d5df54bd-rt9xq                     1/1     Running            0                4m55s   10.244.1.85    job7189-worker          <none>           <none>
monitoring           es-0                                            1/1     Running            0                4m28s   10.244.2.174   job7189-worker3         <none>           <none>
monitoring           filebeat-86g69                                  1/1     Running            0                2m6s    172.18.0.5     job7189-worker2         <none>           <none>
monitoring           filebeat-94qbt                                  1/1     Running            0                3m28s   172.18.0.3     job7189-worker3         <none>           <none>
monitoring           filebeat-c4t9j                                  1/1     Running            0                4m8s    172.18.0.4     job7189-worker          <none>           <none>
monitoring           grafana-77fcc4b588-ldrms                        1/1     Running            0                4m21s   10.244.2.232   job7189-worker3         <none>           <none>
monitoring           kibana-55f7f8646d-vcgg4                         1/1     Running            0                4m23s   10.244.3.144   job7189-worker2         <none>           <none>
monitoring           kube-state-metrics-68ffbf7df-d5rqp              1/1     Running            0                4h43m   10.244.1.27    job7189-worker          <none>           <none>
monitoring           kube-state-metrics-6b448bf5f6-7k8pk             0/1     CrashLoopBackOff   4 (24s ago)      3m56s   10.244.2.203   job7189-worker3         <none>           <none>
monitoring           node-exporter-7whtb                             1/1     Running            0                110s    172.18.0.5     job7189-worker2         <none>           <none>
