NAME                                  AGE   VALID
allow-apps-egress-kafka               37m   True
allow-apps-intra-ns-services          37m   True
allow-dns-egress                      37m   True
allow-egress-vault-db                 37m   True
allow-identity-to-mysql               37m   True
allow-identity-to-vault               37m   True
allow-internal-identity               37m   True
allow-internal-job-to-workspace       37m   True
allow-kong-ingress                    37m   True
allow-testclient-egress-to-identity   37m   True
default-deny-all                      37m   False
default-deny-job7189-apps             37m   True
restrict-identity-api-l7              37m   True
