NAME                                  AGE   VALID
allow-apps-egress-kafka               63m   True
allow-apps-intra-ns-services          63m   True
allow-dns-egress                      24m   True
allow-egress-vault-db                 23m   True
allow-identity-to-mysql               24m   True
allow-identity-to-vault               24m   True
allow-internal-identity               23m   True
allow-internal-job-to-workspace       23m   True
allow-kong-ingress                    23m   True
allow-testclient-egress-to-identity   24m   True
default-deny-all                      24m   False
default-deny-job7189-apps             24m   True
restrict-identity-api-l7              24m   True
