NAME                                  AGE    VALID
allow-apps-egress-kafka               139m   True
allow-apps-intra-ns-services          139m   True
allow-dns-egress                      100m   True
allow-egress-vault-db                 100m   True
allow-identity-to-mysql               100m   True
allow-identity-to-vault               100m   True
allow-internal-identity               100m   True
allow-internal-job-to-workspace       100m   True
allow-kong-ingress                    100m   True
allow-testclient-egress-to-identity   100m   True
default-deny-all                      100m   False
default-deny-job7189-apps             100m   True
restrict-identity-api-l7              100m   True
