"namespace","kind","name","ready","replicas","service_account","role","tier","env","data_classification","exposure","team","containers","images","container_ports","vault_injection","spire_enabled","readonly_rootfs_all","run_as_non_root_all"
"job7189-apps","Deployment","job-service-redis","1/1","1","job-service-redis","cache","T2","prod","internal","cluster-only","backend","redis","100.74.189.43:5443/job7189/redis@sha256:d7fcf65186e011faaa401b5e6edf5147e9dd01353984c795e515f6fee7dfbe6e","6379/TCP","no","no","no","no"
"job7189-apps","Deployment","storage-service","1/1","1","storage-service","api","T2","prod","internal","internal","backend","env-loader;env-watcher;app","busybox@sha256:73aaf090f3d85aa34ee199857f03fa3a95c8ede2ffd4cc2cdb5b94e566b11662;alpine@sha256:de0eb0b3f2a47ba1eb89389859a9bd88b28e82f5826b6969ad604979713c2d4f;100.74.189.43:5443/job7189/storage-service@sha256:55cc23d1f6c993c01e1e369b9f3413aa213b23a5e3d589128794b9b06060286d",";;8000/TCP","yes","yes","no","no"
"job7189-apps","Deployment","storage-service-redis","1/1","1","storage-service-redis","cache","T2","prod","internal","cluster-only","backend","redis","100.74.189.43:5443/job7189/redis@sha256:d7fcf65186e011faaa401b5e6edf5147e9dd01353984c795e515f6fee7dfbe6e","6379/TCP","no","no","no","no"
"job7189-apps","Deployment","workspace-service","1/1","1","workspace-service","api","T2","prod","internal","internal","backend","env-loader;env-watcher;app","busybox@sha256:73aaf090f3d85aa34ee199857f03fa3a95c8ede2ffd4cc2cdb5b94e566b11662;alpine@sha256:de0eb0b3f2a47ba1eb89389859a9bd88b28e82f5826b6969ad604979713c2d4f;100.74.189.43:5443/job7189/workspace@sha256:f6b5fcaf27a932c423e19fe01502ebb2e79cfbb45f136ec316a50bd8ff6c033b",";;8000/TCP","yes","yes","no","no"
"job7189-apps","Deployment","workspace-service-redis","1/1","1","workspace-service-redis","cache","T2","prod","internal","cluster-only","backend","redis","100.74.189.43:5443/job7189/redis@sha256:d7fcf65186e011faaa401b5e6edf5147e9dd01353984c795e515f6fee7dfbe6e","6379/TCP","no","no","no","no"
"kube-system","Deployment","cilium-operator","1/1","1","cilium-operator","","","","","","","cilium-operator","quay.io/cilium/operator-generic:v1.19.4@sha256:1aa2b62735e7d8ab49ee840ae59c346932024c88901579121395c1271b435f71","9234/TCP|9963/TCP","no","no","no","no"
"kube-system","Deployment","coredns","2/2","2","coredns","","","","","","","coredns","registry.k8s.io/coredns/coredns:v1.11.1","53/UDP|53/TCP|9153/TCP","no","no","yes","no"
"kube-system","Deployment","hubble-relay","1/1","1","hubble-relay","","","","","","","hubble-relay","quay.io/cilium/hubble-relay:v1.19.4@sha256:59af8c0d561e560c2a042e7600a3496bc0367df8fbf868aa68d5834c8ec1a431","4245/TCP","no","no","no","yes"
"kube-system","Deployment","hubble-ui","1/1","1","hubble-ui","","","","","","","frontend;backend","quay.io/cilium/hubble-ui:v0.13.5@sha256:f7d514fc54d784ed6df9d58cf0e97648b143f92b766dd1780ed3fc845bd4c516;quay.io/cilium/hubble-ui-backend:v0.13.5@sha256:fac0c300ae119274edca11fd89b1ad23c788792d8bc4ea2ba631c709e8d3c688","8081/TCP;8090/TCP","no","no","no","no"
"kube-system","Deployment","metrics-server","1/1","1","metrics-server","","","","","","","metrics-server","registry.k8s.io/metrics-server/metrics-server:v0.7.1","10250/TCP","no","no","yes","yes"
